iter	RMSE
0	14.57451178
1	13.21373098
2	11.92725245
3	10.79541399
4	9.752270227
5	8.829094911
6	7.983604198
7	7.224915042
8	6.528129703
9	5.901562968
10	5.359165144
11	4.860980533
12	4.391942771
13	3.969900583
14	3.580941431
15	3.248237792
16	2.942883211
17	2.669480899
18	2.421176772
19	2.198180268
20	1.992275483
21	1.806781499
22	1.646924543
23	1.504949913
24	1.371096315
25	1.256608543
26	1.151068855
27	1.059706119
28	0.9763864148
29	0.9008240369
30	0.8329517469
31	0.774384967
32	0.721445043
33	0.6735533269
34	0.6318733982
35	0.5950450673
36	0.5628625676
37	0.5350383903
38	0.5099946834
39	0.4881997464
40	0.4692058625
41	0.4523684658
42	0.4377665873
43	0.4257671961
44	0.4150316303
45	0.4046532162
46	0.3955205228
47	0.3877645291
48	0.3807236957
49	0.3730893013
50	0.3669401497
51	0.360342791
52	0.3558125645
53	0.3506425956
54	0.3464792515
55	0.3422378581
56	0.3376272669
57	0.3343182669
58	0.33074372
59	0.327476658
60	0.3248801508
61	0.3226480801
62	0.3199929687
63	0.3171409414
64	0.315307229
65	0.3129370085
66	0.3097980711
67	0.3071295216
68	0.3051489776
69	0.3036636667
70	0.3019853925
71	0.2999901953
72	0.2978530345
73	0.2971625316
74	0.2956707451
75	0.2930546254
76	0.2918509582
77	0.2907886567
78	0.2889833741
79	0.286606408
80	0.2847249063
81	0.2839302302
82	0.2813833983
83	0.2796431717
84	0.2781073171
85	0.2765711147
86	0.2746463704
87	0.2727485259
88	0.2710527375
89	0.268898238
90	0.2674532868
91	0.2656136042
92	0.264967265
93	0.2635046569
94	0.2621431868
95	0.2618981734
96	0.2599867813
97	0.2583967705
98	0.257908176
99	0.2577369902
100	0.2576017532
101	0.2560579961
102	0.2559791189
103	0.2543003364
104	0.2524858015
105	0.2509819127
106	0.2501116489
107	0.2483866996
108	0.2482535122
109	0.2471589903
110	0.2462106879
111	0.2460775138
112	0.2452616062
113	0.2443833473
114	0.2436324439
115	0.2424216469
116	0.2412743495
117	0.2404566023
118	0.2396021355
119	0.238874344
120	0.2375016781
121	0.2373679704
122	0.2361432611
123	0.235097636
124	0.23381499
125	0.2324038949
126	0.2315417882
127	0.2298932979
128	0.2289725935
129	0.227857064
130	0.226791177
131	0.2266482321
132	0.2265375117
133	0.2264608086
134	0.2252209957
135	0.2245006564
136	0.2237416706
