iter	MAPE
0	0.02551997534
1	0.02442192684
2	0.02336348083
3	0.02246594965
4	0.02161393185
5	0.02074164804
6	0.01997651603
7	0.01924205908
8	0.01857154451
9	0.01791375504
10	0.01732736352
11	0.01674892316
12	0.01624262291
13	0.0157981241
14	0.01533745924
15	0.01494489091
16	0.01457887809
17	0.01423160497
18	0.01389598649
19	0.01360853155
20	0.01334887895
21	0.01314986054
22	0.01292648174
23	0.01268968701
24	0.01244422407
25	0.01226702774
26	0.01207469887
27	0.01191556007
28	0.01172764447
29	0.0115853155
30	0.01144521851
31	0.01128772954
32	0.01116288012
33	0.01101907632
34	0.01090953931
35	0.01078632614
36	0.01066111754
37	0.01055323666
38	0.01045274378
39	0.01036177772
40	0.0102913447
41	0.01018820682
42	0.01010672369
43	0.01000854534
44	0.009928383595
45	0.009859122774
46	0.009795001067
47	0.009752426622
48	0.0096946026
49	0.009638873494
50	0.009594838204
51	0.009500445143
52	0.009441652333
53	0.009375257237
54	0.00932159227
55	0.009291363044
56	0.009235803439
57	0.009197685239
58	0.009149874845
59	0.00909840818
60	0.009083703557
61	0.009040298405
62	0.008977923036
63	0.008974250986
64	0.008922525786
65	0.008878405324
66	0.008856141646
67	0.008831236009
68	0.008797893231
69	0.0087569117
70	0.008729505954
71	0.008693710298
72	0.00866833684
73	0.008644895022
74	0.008618846181
75	0.008581106801
76	0.008534444122
77	0.008502463184
78	0.008462164057
79	0.008424342014
80	0.008403277927
81	0.008369893828
82	0.008337175889
83	0.008308038967
84	0.008283798495
85	0.008241921311
86	0.00821711969
87	0.008201479801
88	0.008182344323
89	0.008149607696
90	0.008129917452
91	0.008106581267
92	0.008083113398
93	0.008058787899
94	0.008039935398
95	0.008024455027
96	0.008022585095
97	0.008020371825
98	0.008007484875
99	0.00798295318
100	0.007976923241
101	0.007963930431
102	0.007947520192
103	0.00792974591
104	0.007911457043
105	0.007870213909
106	0.007856396808
107	0.007840355583
108	0.007814730884
109	0.007801798851
110	0.007772716005
111	0.007762726638
112	0.007747679091
113	0.007730523768
114	0.007715435832
115	0.007670873169
116	0.007665455488
117	0.007652975321
118	0.007636267924
119	0.00761832675
120	0.007603532912
121	0.007598079673
122	0.007581458686
123	0.007566753357
124	0.007541058113
125	0.007527376353
126	0.007486348809
127	0.007443136845
128	0.007433202944
129	0.007422442266
130	0.007401990299
131	0.007371858899
132	0.007355056388
133	0.007332668172
134	0.007318269181
135	0.007305344493
136	0.00728810838
137	0.007273377413
138	0.007262604016
139	0.007249335183
140	0.007221002444
141	0.007206256702
142	0.007185893018
143	0.00716915187
144	0.007157760078
145	0.007137788921
146	0.007123399976
147	0.007103891645
148	0.007086292518
149	0.007072999703
150	0.007065722136
151	0.007048951952
152	0.007037614927
153	0.00702109125
154	0.007008735233
155	0.0070008686
156	0.006990314849
157	0.006970482993
158	0.006957262341
159	0.006941388938
160	0.006934687611
161	0.006923862762
162	0.006908819233
163	0.006898705426
164	0.006886024122
165	0.006876402906
166	0.00687189818
167	0.006860061489
168	0.006846903505
169	0.006838218866
170	0.006826678348
171	0.006820269255
172	0.006807729643
173	0.006796853763
174	0.006782364559
175	0.006771543275
176	0.006761569058
177	0.006751967066
178	0.006739125075
179	0.00672393801
180	0.00670496955
