iter	Passed	Remaining
0	4	3444
1	8	2966
2	11	2766
3	16	2924
4	20	2789
5	23	2717
6	27	2682
7	31	2708
8	34	2645
9	39	2753
10	49	3109
11	59	3382
12	67	3559
13	75	3718
14	77	3556
15	83	3559
16	87	3495
17	90	3416
18	96	3459
19	100	3400
20	102	3301
21	102	3171
22	105	3120
23	108	3067
24	110	2978
25	114	2957
26	118	2941
27	121	2917
28	125	2892
29	127	2858
30	131	2832
31	134	2808
32	137	2782
33	140	2757
34	144	2739
35	147	2728
36	150	2698
37	154	2694
38	161	2732
39	164	2713
40	167	2700
41	171	2686
42	175	2686
43	181	2701
44	186	2710
45	190	2714
46	196	2729
47	203	2766
48	207	2760
49	211	2753
50	216	2754
51	220	2747
52	224	2734
53	227	2718
54	231	2713
55	236	2717
56	240	2709
57	245	2715
58	248	2701
59	253	2704
60	260	2732
61	267	2754
62	274	2774
63	281	2794
64	285	2784
65	288	2776
66	292	2768
67	296	2755
68	300	2745
69	303	2730
70	306	2712
71	311	2718
72	318	2732
73	321	2723
74	325	2714
75	331	2719
76	335	2712
77	338	2700
78	342	2690
79	346	2684
80	349	2669
81	352	2655
82	355	2642
83	358	2629
84	362	2620
85	366	2614
86	372	2627
87	379	2642
88	385	2648
89	389	2641
90	392	2628
91	396	2621
92	401	2617
93	404	2605
94	407	2595
95	411	2590
96	414	2576
97	418	2572
98	423	2570
99	427	2563
100	430	2555
101	434	2548
102	438	2541
103	441	2529
104	445	2524
105	449	2519
106	453	2511
107	458	2511
108	463	2513
109	467	2506
110	470	2498
111	474	2493
112	478	2485
113	481	2475
114	485	2469
115	488	2460
116	491	2448
117	495	2443
118	502	2452
119	507	2452
120	510	2444
121	514	2436
122	517	2426
123	520	2418
124	524	2411
125	527	2404
126	532	2400
127	538	2407
128	547	2423
129	555	2436
130	560	2434
131	565	2431
132	568	2422
133	574	2427
134	578	2419
135	581	2413
136	585	2404
137	589	2399
138	592	2390
139	595	2380
140	598	2372
141	601	2364
142	604	2355
143	608	2350
144	611	2340
145	614	2333
146	618	2325
147	621	2317
148	625	2313
149	628	2305
150	632	2299
151	636	2294
152	643	2299
153	647	2294
154	650	2287
155	654	2282
156	657	2274
157	661	2269
158	664	2262
159	669	2257
160	674	2256
161	677	2251
162	680	2243
163	684	2236
164	688	2233
165	693	2229
166	696	2222
167	699	2214
168	703	2211
169	707	2205
170	710	2199
171	714	2192
172	717	2186
173	720	2179
174	726	2178
175	729	2172
176	735	2172
177	738	2166
178	742	2161
179	746	2155
180	753	2159
181	757	2155
182	760	2148
183	763	2141
184	768	2138
185	772	2134
186	776	2129
187	779	2123
188	783	2117
189	786	2109
190	789	2104
191	793	2100
192	797	2094
193	803	2094
194	806	2088
195	810	2083
196	813	2077
197	818	2073
198	821	2068
199	827	2068
200	830	2062
201	835	2058
202	838	2052
203	841	2045
204	844	2038
205	847	2031
206	850	2025
207	853	2017
208	857	2013
209	860	2007
210	863	2001
211	867	1997
212	871	1992
213	874	1985
214	878	1981
215	882	1977
216	886	1972
217	889	1967
218	893	1962
219	897	1958
220	901	1953
221	904	1948
222	907	1942
223	911	1936
224	916	1934
225	920	1930
226	924	1925
227	927	1920
228	932	1918
229	935	1912
230	940	1909
231	943	1902
232	947	1898
233	950	1892
234	955	1890
235	958	1884
236	962	1880
237	966	1875
238	969	1869
239	972	1863
240	977	1861
241	984	1864
242	990	1862
243	993	1857
244	997	1851
245	1000	1846
246	1004	1841
247	1009	1839
248	1012	1834
249	1015	1828
250	1019	1823
251	1022	1818
252	1030	1821
253	1038	1823
254	1043	1821
255	1048	1818
256	1053	1816
257	1057	1812
258	1065	1814
259	1070	1811
260	1073	1806
261	1077	1802
262	1080	1796
263	1084	1790
264	1088	1786
265	1091	1780
266	1097	1780
267	1101	1776
268	1105	1771
269	1108	1766
270	1112	1760
271	1115	1755
