iter	RMSE
0	14.5895132
1	13.22749419
2	11.93988536
3	10.80849944
4	9.764404528
5	8.840790969
6	7.990558616
7	7.231794657
8	6.535427506
9	5.908643421
10	5.365718154
11	4.865520016
12	4.399999441
13	3.977834663
14	3.588314187
15	3.256896129
16	2.951234318
17	2.675332235
18	2.427690074
19	2.204613539
20	1.998306039
21	1.812373813
22	1.651937388
23	1.509868662
24	1.375616173
25	1.26051292
26	1.154661347
27	1.062956641
28	0.9799545769
29	0.903923391
30	0.8344645611
31	0.7760533486
32	0.7225802416
33	0.6746486896
34	0.6352138479
35	0.5976816693
36	0.5642915174
37	0.5368936323
38	0.5115278875
39	0.4899170931
40	0.4708460984
41	0.4539869138
42	0.4391900126
43	0.4264208283
44	0.4157824097
45	0.4049763673
46	0.3961103032
47	0.3872794701
48	0.380689615
49	0.374029185
50	0.3682310955
51	0.3621150182
52	0.3569629406
53	0.3533184311
54	0.3495081815
55	0.3458543324
56	0.3425049801
57	0.3384977882
58	0.3341035192
59	0.3303066848
60	0.3263966984
61	0.3230456447
62	0.3199626159
63	0.3175264121
64	0.315528998
65	0.3135422416
66	0.3119966456
67	0.3089163535
68	0.3062984632
69	0.3047402985
70	0.3025055865
71	0.299779945
72	0.298009487
73	0.295777875
74	0.2934062769
75	0.2905092213
76	0.2879792147
77	0.2867061826
78	0.2844984221
79	0.282672407
80	0.280607736
81	0.2790485722
82	0.2766032031
83	0.2757840922
84	0.2742447846
85	0.2728273614
86	0.2714025934
87	0.2687975658
88	0.2674353658
89	0.2652861511
90	0.2635520812
91	0.2616908688
92	0.2598587322
93	0.2585988227
94	0.2573784085
95	0.2562220547
96	0.2550359226
97	0.2536808078
98	0.2520672716
99	0.2510249637
100	0.2494790019
101	0.2486848189
102	0.24777228
103	0.2458931379
104	0.2448582346
105	0.2439753874
106	0.2429999612
107	0.2413691541
108	0.240334952
109	0.2388988119
110	0.2372191681
111	0.2359374298
112	0.2340359097
113	0.2328489341
114	0.2319305089
115	0.2314448082
116	0.2300577891
117	0.2289211657
118	0.2283049114
119	0.2271449653
120	0.2259508964
121	0.2249051405
122	0.2237074311
123	0.2226300774
124	0.2220710104
125	0.2208590509
126	0.2198223948
127	0.2188275303
128	0.2181282105
129	0.2174480921
130	0.2162530377
131	0.2153096214
132	0.2146916289
133	0.2138984475
134	0.2131647221
135	0.2121116849
136	0.2112818449
137	0.2109465027
138	0.2103233703
139	0.2099142273
140	0.2096985916
141	0.2094520104
142	0.2088285137
143	0.2082557632
144	0.2079069472
145	0.2070844138
146	0.2066379885
147	0.2061765381
148	0.2054789707
149	0.2046901675
150	0.2038176449
151	0.2029661796
152	0.2023920114
153	0.2017607573
154	0.2015783889
155	0.2009970057
156	0.2002126365
157	0.1994136519
158	0.1987882137
159	0.1982646667
160	0.1974410417
161	0.1970160257
162	0.1966634613
163	0.1957570759
164	0.1952543671
165	0.1946221809
