iter	Passed	Remaining
0	4	2911
1	7	2763
2	11	2598
3	14	2466
4	17	2446
5	23	2676
6	26	2658
7	31	2763
8	38	2984
9	45	3114
10	51	3251
11	59	3416
12	64	3398
13	67	3302
14	67	3101
15	71	3077
16	75	3052
17	79	3003
18	85	3047
19	91	3098
20	93	3014
21	95	2931
22	99	2917
23	103	2908
24	104	2834
25	108	2811
26	111	2783
27	114	2755
28	117	2723
29	119	2674
30	123	2670
31	127	2654
32	130	2640
33	133	2620
34	134	2555
35	137	2528
36	140	2519
37	144	2523
38	148	2516
39	151	2496
40	154	2490
41	155	2443
42	158	2417
43	161	2404
44	162	2363
45	165	2349
46	169	2359
47	174	2374
48	178	2367
49	181	2359
50	184	2350
51	189	2362
52	193	2368
53	200	2393
54	205	2409
55	209	2413
56	213	2413
57	219	2434
58	222	2422
59	227	2425
60	231	2426
61	236	2436
62	240	2434
63	244	2425
64	247	2420
65	253	2432
66	256	2427
67	259	2415
68	263	2409
69	268	2417
70	272	2414
71	276	2410
72	279	2403
73	285	2411
74	288	2406
75	292	2398
76	295	2391
77	299	2384
78	307	2413
79	313	2429
80	320	2445
81	324	2445
82	327	2437
83	332	2438
84	337	2439
85	340	2433
86	344	2426
87	347	2413
88	350	2408
89	354	2406
90	359	2404
91	362	2397
92	366	2389
93	369	2383
94	373	2377
95	378	2382
96	383	2384
97	386	2376
98	389	2366
99	393	2360
100	397	2355
101	399	2344
102	403	2336
103	406	2330
104	409	2322
105	413	2319
106	418	2317
107	422	2313
108	425	2305
109	428	2299
110	432	2297
111	438	2301
112	441	2293
113	444	2287
114	450	2289
115	452	2280
116	455	2270
117	458	2262
118	461	2252
119	465	2247
120	468	2241
121	471	2234
122	474	2227
123	478	2220
124	481	2216
125	485	2212
126	489	2206
127	493	2203
128	500	2217
129	508	2228
130	518	2254
131	529	2279
132	535	2281
133	540	2284
134	544	2280
135	549	2277
136	553	2275
137	556	2267
138	560	2262
139	564	2256
140	567	2249
141	570	2241
142	573	2233
143	576	2226
144	580	2222
145	583	2214
146	587	2210
147	590	2202
148	594	2199
149	598	2195
150	602	2189
151	605	2182
152	609	2178
153	613	2173
154	616	2167
155	620	2162
156	623	2155
157	628	2154
158	633	2154
159	640	2161
160	647	2168
161	653	2169
162	657	2166
163	661	2162
164	665	2157
165	668	2151
166	671	2143
167	674	2137
168	679	2133
169	681	2126
170	686	2125
171	690	2118
172	694	2116
173	698	2110
174	701	2104
175	704	2096
176	707	2090
177	710	2084
178	714	2080
179	717	2072
180	722	2071
181	726	2067
182	729	2061
183	733	2056
184	735	2048
185	738	2041
186	742	2035
187	745	2031
188	749	2025
189	752	2019
190	755	2013
191	758	2006
192	761	2000
193	766	1999
194	769	1993
195	772	1986
196	777	1984
197	780	1978
198	783	1972
199	787	1967
200	791	1964
201	799	1970
202	805	1972
203	812	1975
204	816	1971
205	819	1965
206	823	1960
207	828	1958
208	832	1954
209	835	1950
210	842	1951
211	845	1946
212	848	1940
213	852	1935
214	855	1930
215	858	1924
216	861	1918
217	865	1913
218	868	1907
219	871	1901
220	875	1897
221	879	1893
222	883	1889
223	887	1885
224	890	1880
225	894	1876
226	898	1871
227	901	1867
228	906	1865
229	910	1860
230	914	1856
231	917	1850
232	921	1846
233	925	1844
234	929	1840
235	933	1835
236	938	1832
237	942	1829
238	945	1824
239	948	1818
240	952	1814
241	956	1809
242	959	1804
243	962	1799
244	965	1793
245	969	1789
246	974	1786
247	976	1780
248	980	1775
249	983	1770
250	986	1764
251	990	1760
252	994	1757
253	998	1753
254	1001	1746
255	1005	1743
256	1008	1737
257	1013	1736
258	1020	1738
259	1028	1740
260	1035	1741
261	1040	1739
262	1045	1736
263	1048	1732
264	1052	1727
265	1055	1721
266	1058	1716
267	1061	1710
268	1064	1705
269	1072	1707
270	1077	1705
271	1081	1701
272	1085	1697
273	1089	1693
274	1092	1688
275	1095	1683
276	1098	1677
277	1101	1672
278	1105	1667
279	1108	1662
280	1111	1656
281	1114	1651
282	1117	1646
283	1120	1640
284	1123	1636
285	1127	1631
286	1131	1627
287	1134	1623
288	1138	1619
289	1142	1614
290	1145	1609
291	1147	1603
292	1150	1598
293	1153	1592
294	1157	1589
295	1161	1585
296	1165	1581
297	1170	1578
298	1173	1574
299	1179	1572
300	1183	1568
301	1186	1564
302	1189	1559
303	1192	1554
304	1195	1548
305	1198	1543
306	1202	1539
307	1205	1534
308	1209	1530
309	1212	1525
310	1215	1519
311	1218	1515
312	1222	1511
313	1225	1507
314	1229	1502
315	1232	1497
316	1236	1494
317	1239	1489
318	1243	1484
319	1246	1479
320	1250	1475
321	1253	1471
322	1257	1467
323	1261	1463
324	1264	1458
325	1268	1455
326	1271	1450
327	1275	1446
328	1278	1441
329	1283	1439
330	1287	1435
331	1290	1430
332	1293	1425
333	1297	1421
334	1301	1417
335	1304	1412
336	1307	1408
337	1311	1404
338	1316	1401
339	1319	1396
340	1322	1392
341	1327	1389
342	1333	1387
343	1337	1384
344	1341	1380
345	1344	1375
346	1347	1371
347	1350	1366
348	1354	1362
349	1359	1359
350	1362	1354
351	1367	1351
352	1371	1348
353	1376	1345
354	1379	1340
355	1383	1336
356	1387	1332
357	1390	1328
358	1393	1323
359	1398	1321
360	1402	1317
361	1406	1312
362	1409	1308
363	1414	1305
364	1418	1301
365	1422	1298
366	1427	1295
367	1433	1292
368	1436	1288
369	1439	1284
370	1443	1280
371	1447	1276
372	1452	1273
373	1455	1268
374	1458	1263
375	1461	1259
376	1466	1256
377	1469	1252
378	1473	1247
379	1476	1243
380	1480	1239
381	1485	1236
382	1488	1231
383	1492	1228
384	1496	1224
385	1499	1219
386	1503	1215
387	1506	1211
388	1511	1208
389	1515	1204
390	1518	1200
391	1522	1196
392	1526	1192
393	1530	1188
394	1534	1185
395	1539	1181
396	1545	1179
397	1549	1175
398	1552	1171
399	1555	1166
400	1560	1163
401	1564	1160
402	1568	1155
403	1571	1151
404	1574	1147
405	1578	1143
406	1581	1138
407	1585	1134
408	1588	1130
409	1592	1126
410	1596	1122
411	1599	1118
412	1603	1114
413	1606	1109
414	1609	1105
415	1612	1101
416	1616	1097
417	1621	1093
418	1625	1089
419	1628	1085
420	1634	1083
421	1637	1078
422	1641	1075
423	1644	1070
424	1648	1066
425	1652	1062
426	1655	1058
427	1660	1055
428	1665	1052
429	1669	1048
430	1672	1044
431	1676	1040
432	1680	1036
433	1683	1031
434	1686	1027
435	1690	1023
436	1694	1019
437	1698	1015
438	1701	1011
439	1705	1007
440	1709	1003
441	1713	1000
442	1717	996
443	1722	993
444	1727	989
445	1730	985
446	1733	981
447	1736	977
448	1740	973
449	1744	968
450	1748	965
451	1751	960
452	1755	956
453	1758	952
454	1762	949
455	1765	944
456	1768	940
457	1771	936
458	1774	931
459	1778	927
460	1783	924
461	1788	921
462	1793	918
463	1797	914
464	1800	910
465	1805	906
466	1808	902
467	1812	898
468	1817	895
469	1821	891
470	1825	887
471	1828	883
472	1831	879
473	1835	875
474	1838	871
475	1842	867
476	1845	862
477	1848	858
478	1852	854
479	1856	850
480	1859	846
481	1863	842
482	1866	838
483	1871	835
484	1874	830
485	1878	827
486	1880	822
487	1885	819
488	1889	815
489	1892	811
490	1896	807
491	1899	803
492	1906	800
493	1912	797
494	1916	793
495	1919	789
496	1925	786
497	1930	783
498	1934	779
499	1938	775
500	1942	771
501	1945	767
502	1948	763
503	1953	759
504	1956	755
505	1960	751
506	1963	747
507	1965	743
508	1969	738
509	1972	734
510	1976	730
511	1979	726
512	1983	722
513	1986	718
514	1989	714
515	1995	711
516	2004	709
517	2013	707
518	2025	706
519	2035	704
520	2040	701
521	2044	697
522	2047	692
523	2053	689
524	2058	686
525	2061	681
526	2065	678
527	2068	673
528	2072	670
529	2076	666
530	2079	661
531	2083	657
532	2088	654
533	2092	650
534	2095	646
535	2098	642
536	2102	638
537	2106	634
538	2109	630
539	2112	625
540	2115	621
541	2119	617
542	2122	613
543	2126	609
544	2129	605
545	2133	601
546	2137	597
547	2140	593
548	2148	590
549	2154	587
550	2159	583
551	2163	579
552	2167	576
553	2170	572
554	2173	567
555	2177	563
556	2183	560
557	2187	556
558	2190	552
559	2193	548
560	2196	544
561	2199	540
562	2203	536
563	2207	532
564	2210	528
565	2214	524
566	2218	520
567	2221	516
568	2225	512
569	2228	508
570	2233	504
571	2236	500
572	2239	496
573	2243	492
574	2246	488
575	2250	484
576	2254	480
577	2258	476
578	2261	472
579	2265	468
580	2267	464
581	2273	460
582	2276	456
583	2281	453
584	2286	449
585	2289	445
586	2293	441
587	2297	437
588	2302	433
589	2305	429
590	2309	425
591	2316	422
592	2320	418
593	2323	414
594	2329	411
595	2332	406
596	2336	403
597	2338	398
598	2341	394
599	2345	390
600	2349	386
601	2352	383
602	2356	379
603	2360	375
604	2364	371
605	2367	367
606	2371	363
607	2375	359
608	2380	355
609	2383	351
610	2387	347
611	2390	343
612	2393	339
613	2397	335
614	2401	331
615	2404	327
616	2408	323
617	2413	320
618	2416	316
619	2420	312
620	2423	308
621	2428	304
622	2431	300
623	2435	296
624	2438	292
625	2441	288
626	2445	284
627	2447	280
628	2452	276
629	2456	272
630	2459	268
631	2463	265
632	2467	261
633	2471	257
634	2475	253
635	2479	249
636	2483	245
637	2485	241
638	2488	237
639	2492	233
640	2495	229
641	2499	225
642	2504	221
643	2507	218
644	2511	214
645	2515	210
646	2518	206
647	2522	202
648	2526	198
649	2530	194
650	2534	190
651	2538	186
652	2543	183
653	2547	179
654	2552	175
655	2556	171
656	2559	167
657	2563	163
658	2566	159
659	2569	155
660	2572	151
661	2577	147
662	2580	144
663	2583	140
664	2586	136
665	2590	132
666	2593	128
667	2597	124
668	2602	120
669	2605	116
670	2609	112
671	2612	108
672	2616	104
673	2619	101
674	2623	97
675	2626	93
676	2630	89
677	2634	85
678	2638	81
679	2643	77
680	2648	73
681	2651	69
682	2655	66
683	2659	62
684	2663	58
685	2667	54
686	2671	50
687	2675	46
688	2678	42
689	2682	38
690	2686	34
