iter	MAPE
0	0.02646521405
1	0.02525708685
2	0.02414160077
3	0.02309594265
4	0.02209064065
5	0.02115811397
6	0.02036809705
7	0.01956595548
8	0.01882343005
9	0.01810135671
10	0.01745219992
11	0.01685871034
12	0.01632954859
13	0.01580104376
14	0.0153393713
15	0.01490458024
16	0.01448691219
17	0.01419987937
18	0.01385545694
19	0.01352501603
20	0.01321175254
21	0.01292343064
22	0.01264318026
23	0.01239074434
24	0.01221624791
25	0.01197118917
26	0.01174686793
27	0.01157276287
28	0.01137784581
29	0.01120494756
30	0.011024883
31	0.01089499058
32	0.01071094303
33	0.01057459774
34	0.01045620941
35	0.01034873109
36	0.01020988014
37	0.01013449727
38	0.009996916739
39	0.009890840966
40	0.009779321547
41	0.009697823111
42	0.009591876149
43	0.00952403171
44	0.009438750012
45	0.009375706587
46	0.00933935211
47	0.009262379013
48	0.009190392524
49	0.009127433247
50	0.00901977429
51	0.00893984654
52	0.00887761718
53	0.0088258256
54	0.008766562477
55	0.008702434496
56	0.008659731645
57	0.008595563088
58	0.008524497429
59	0.00848986726
60	0.008483573596
61	0.008406681802
62	0.008353844362
63	0.008312663215
64	0.008277428287
65	0.008273393777
66	0.008214421695
67	0.008178357109
68	0.008132051398
69	0.008091035787
70	0.008060597461
71	0.008006694044
72	0.007972439062
73	0.007941283694
74	0.007915973035
75	0.007868497465
76	0.007824903156
77	0.007792552271
78	0.007767580253
79	0.007745089684
80	0.007715342022
81	0.007694166682
82	0.007655607788
83	0.007628277515
84	0.00761396654
85	0.007598196095
86	0.007576998878
87	0.007571191834
88	0.007540386556
89	0.007526038362
90	0.007503785282
91	0.007482200584
92	0.007462782053
93	0.007442390242
94	0.00742403126
95	0.007398740215
96	0.007378792584
97	0.007353795484
98	0.007339583876
99	0.007313862516
100	0.007290231972
101	0.007261786523
102	0.007243706018
103	0.007223374662
104	0.007209688297
105	0.007194315083
106	0.007172826888
107	0.00714287022
108	0.007130446102
109	0.007127646852
110	0.007115639929
111	0.007109730657
112	0.007093205411
113	0.007060057108
114	0.007041230883
115	0.007040331713
116	0.007028661061
117	0.007005548519
118	0.006984880828
119	0.006972484348
120	0.006956089778
121	0.00695531834
122	0.006921946624
123	0.006892822598
124	0.006885141889
125	0.006873900152
126	0.00684671473
127	0.006825571057
128	0.00680525166
129	0.006790200637
130	0.006771707879
131	0.006753920308
132	0.0067453714
133	0.006731023323
134	0.006710536632
135	0.006694985363
136	0.006671506237
137	0.006653625339
138	0.006638580443
139	0.006622839141
140	0.006605544981
141	0.006588285826
142	0.006578457671
143	0.006573487337
144	0.006557164341
145	0.006544166344
146	0.006538631349
147	0.006520495277
148	0.006505393504
149	0.006491040591
150	0.00648127119
151	0.006473616414
152	0.006457744006
153	0.006444381633
154	0.006426515185
155	0.006410820523
156	0.006388350801
157	0.006380067516
158	0.006360593423
159	0.006344570665
160	0.006320745339
161	0.006312799013
162	0.006289299499
163	0.006274443922
164	0.006267011261
165	0.006260353789
166	0.006243099116
167	0.006227160944
168	0.006212041881
169	0.006204844257
170	0.006189648006
171	0.006175692611
172	0.006161545872
173	0.006149122357
174	0.006144320037
175	0.006129402657
176	0.006120446912
177	0.006103034399
178	0.00608557684
179	0.00607721793
180	0.006064011622
181	0.006043529026
