iter	RMSE
0	14.5842698
1	13.22423743
2	11.93778195
3	10.80614033
4	9.762091553
5	8.840352224
6	7.989494284
7	7.231290222
8	6.535697215
9	5.903831901
10	5.359758154
11	4.862750956
12	4.397643742
13	3.975479069
14	3.586163104
15	3.253989255
16	2.947690481
17	2.673153245
18	2.425511532
19	2.202798037
20	1.996758418
21	1.811035493
22	1.650741654
23	1.508541294
24	1.374256186
25	1.258066142
26	1.152625797
27	1.061336303
28	0.9797054546
29	0.9031539238
30	0.8353485022
31	0.7770005808
32	0.7225689058
33	0.6747889667
34	0.6325134927
35	0.5958904527
36	0.5637824239
37	0.5358103557
38	0.5096496086
39	0.4878769767
40	0.4677335594
41	0.4517303046
42	0.4361095355
43	0.4234929886
44	0.4109944934
45	0.3992292195
46	0.3900724665
47	0.3818258357
48	0.3746386215
49	0.3683576034
50	0.3624091098
51	0.3567763056
52	0.3514396701
53	0.3468742261
54	0.3423105578
55	0.3372083027
56	0.3336759223
57	0.3307489655
58	0.3271701842
59	0.3244420001
60	0.3208155653
61	0.3184652964
62	0.3164765443
63	0.3136863633
64	0.310390808
65	0.3079702994
66	0.3053128229
67	0.3034087744
68	0.3018281312
69	0.2995782231
70	0.2971969553
71	0.2952477402
72	0.2938165612
73	0.29116867
74	0.2894885644
75	0.2877193961
76	0.2854273509
77	0.2840938446
78	0.2821120921
79	0.2808845473
80	0.2795683067
81	0.2775850718
82	0.2767384905
83	0.2751044008
84	0.2736392745
85	0.272157507
86	0.2698840312
87	0.2677142277
88	0.2656348466
89	0.2645412326
90	0.2632807052
91	0.2611833361
92	0.2595922302
93	0.2586337279
94	0.2574185404
95	0.2565160496
96	0.2548515876
97	0.2535257891
98	0.2522054092
99	0.2513914175
100	0.2504143231
101	0.2491002028
102	0.2484773238
103	0.2476233742
104	0.2464049777
105	0.2453814362
106	0.2442467657
107	0.2428130629
108	0.2412674489
109	0.2406842141
110	0.2393725055
111	0.2392023134
112	0.2380788591
113	0.2368819645
114	0.2355932197
115	0.2347632079
116	0.2341551625
117	0.2329749436
118	0.2320945232
119	0.2312524518
120	0.2305912869
121	0.2302864506
122	0.2301721747
123	0.2297356757
124	0.2284252014
125	0.2269610621
126	0.2259668138
127	0.2250543612
128	0.2236948239
129	0.222623983
130	0.2215399939
131	0.2213140719
132	0.2208598904
133	0.2198195911
134	0.2193521766
135	0.2184820632
136	0.2178041991
137	0.2169938043
138	0.2161089536
139	0.2151919504
140	0.215017202
141	0.2144798537
142	0.2143274822
143	0.2137697386
144	0.2126493347
145	0.2113311645
146	0.2105212889
147	0.2093590459
148	0.2082053611
149	0.2080116484
150	0.2072147844
151	0.2062477572
152	0.2055189336
153	0.2051618381
154	0.2041109351
155	0.2033370833
156	0.2025402966
157	0.2017333079
158	0.2012690173
159	0.2001578415
160	0.1992428908
161	0.1986462638
162	0.1979331203
163	0.1969876039
164	0.1962261556
165	0.1952141158
166	0.1941202215
167	0.1932349497
168	0.1923943168
169	0.1916299255
170	0.1907873812
171	0.190259703
172	0.1893628469
173	0.1885953162
174	0.1880662319
175	0.187616642
176	0.1869567028
177	0.1864062127
178	0.1858840496
179	0.1853257157
180	0.184832553
181	0.1841570857
182	0.183588182
183	0.1832374382
184	0.1829558792
185	0.1823463118
186	0.1820866452
187	0.1819300446
188	0.1815326687
189	0.1810907534
190	0.1809234019
191	0.1804349615
192	0.1798105504
193	0.1792177368
194	0.1784290923
195	0.1782934844
196	0.1780015369
197	0.1774213024
198	0.177304689
199	0.1766587213
200	0.1761291594
201	0.1754536662
202	0.1751455819
203	0.1745297587
204	0.174188083
205	0.1739991492
206	0.1734615179
207	0.172924783
208	0.1725994467
209	0.1719647353
210	0.1714595644
211	0.1713376879
212	0.1710568116
213	0.1704926379
214	0.1699070708
215	0.1693224324
216	0.1688913301
217	0.1686274747
218	0.1680877012
219	0.1676222445
220	0.1672475863
221	0.1669873152
222	0.1664254784
223	0.1658159176
224	0.1655566043
225	0.1654487229
226	0.1651373904
227	0.1649500134
228	0.1648643538
229	0.1646728995
230	0.1643345099
231	0.1637689576
232	0.1633246447
233	0.1630103343
234	0.1627786066
235	0.1622221426
236	0.1619301159
237	0.1613022395
238	0.161092631
239	0.1609088047
240	0.1608426871
241	0.1601698938
242	0.1597275472
243	0.1592325662
244	0.1590032414
245	0.1587251582
246	0.1585127105
247	0.1580056236
248	0.1576378219
249	0.1572256553
250	0.1568089419
251	0.1563164306
252	0.1557520621
253	0.1555596429
254	0.1553012784
255	0.1548552692
256	0.1543766787
257	0.1538566415
258	0.1535266133
259	0.1531699292
260	0.1530130302
261	0.1527438352
262	0.1524576702
263	0.1521649476
264	0.1517444734
265	0.151377352
266	0.1512892452
267	0.1509072656
268	0.1504562325
269	0.1502189118
270	0.1499523956
271	0.149557095
272	0.1493226879
273	0.1489937315
274	0.1487371245
275	0.148241714
276	0.1480740975
277	0.147943339
278	0.1476058459
279	0.1470735856
280	0.1468639452
281	0.1466376195
282	0.1462901697
283	0.1460460341
284	0.14557816
285	0.1451940784
286	0.1447913521
287	0.1443881777
288	0.1440336101
289	0.1436115213
290	0.1433549491
291	0.1432342362
292	0.1429159011
293	0.1426249547
294	0.142239194
295	0.1419910023
296	0.1415035762
297	0.1411684803
298	0.1408222382
299	0.1405025199
300	0.1401850189
301	0.139833085
302	0.1396388035
303	0.1393470026
304	0.139029971
305	0.1388208476
306	0.1385143153
307	0.1383253578
308	0.1378917927
309	0.13768394
310	0.1372246936
311	0.1369628
312	0.1367382402
313	0.136433953
314	0.1362135752
315	0.1361094641
316	0.1358426994
317	0.1356501447
318	0.1353681383
319	0.1350918455
320	0.1347329955
321	0.1346095719
322	0.134176108
323	0.1339607881
324	0.1336193708
325	0.1334065865
326	0.133289256
327	0.1330497013
328	0.1327328597
329	0.1325664148
330	0.1323450547
331	0.1321363875
332	0.131835477
333	0.1317253263
334	0.1316164314
335	0.1315056463
336	0.1313440659
337	0.1310578285
338	0.1309599142
339	0.1308881727
340	0.13076824
341	0.1307127735
342	0.1304838934
343	0.1301827905
344	0.130075032
345	0.1296627906
346	0.1293537661
347	0.1289727183
348	0.1287448909
349	0.1286199856
350	0.1283156753
351	0.1280082228
352	0.1278755576
353	0.1275384249
354	0.1274033348
355	0.1271608472
356	0.1270450753
357	0.1269352914
358	0.1266615162
359	0.1265308789
360	0.1262636973
361	0.1260091329
362	0.1258068881
363	0.1254809657
364	0.1253892485
365	0.1250169423
366	0.124812044
367	0.1245616688
368	0.1243388618
369	0.1241308183
370	0.123990918
371	0.1236628137
372	0.1234236161
373	0.1232901042
374	0.1230548008
375	0.1227800282
376	0.1225128692
377	0.1224067134
378	0.1220332247
379	0.1216445305
380	0.1213330445
381	0.1212600486
382	0.1209846564
383	0.1206762058
384	0.1206308287
385	0.1204261139
386	0.1202350442
387	0.1200887087
388	0.1199619103
389	0.1197108846
390	0.1193915496
391	0.1192187061
392	0.1189465496
393	0.1187593365
394	0.1187193353
395	0.1184266061
396	0.118227713
397	0.1181662386
398	0.1179465764
399	0.1178159477
400	0.1176363998
401	0.1175124995
402	0.1171726235
403	0.1170229741
404	0.1168429115
405	0.1166813383
406	0.116603548
407	0.11645949
408	0.1162636533
409	0.115996042
410	0.1157626569
411	0.1154612962
412	0.115382753
413	0.1152096371
414	0.1151336133
415	0.1149517502
416	0.1147774723
417	0.1147329162
418	0.1146429778
419	0.1144003852
420	0.1143523938
421	0.1141524041
422	0.1140006938
423	0.1139049757
424	0.1135762127
425	0.1133585485
426	0.1132092252
427	0.1130319101
428	0.1128398449
429	0.1126255544
430	0.1123885119
431	0.1122518975
432	0.1120945731
433	0.1119884295
434	0.1118714188
435	0.1116995685
436	0.1116170851
437	0.1114054687
438	0.1112767323
439	0.1111082803
440	0.11074594
441	0.1106129572
442	0.1104845713
443	0.1102902998
444	0.1102460384
445	0.109895344
446	0.1096892672
447	0.1096021674
448	0.1093194518
449	0.1090740033
450	0.1089634171
451	0.108791159
452	0.1085127963
453	0.1084023531
454	0.1082021255
455	0.1080466674
456	0.1079327536
457	0.1077644764
458	0.1075366798
459	0.1072419696
460	0.1070643561
461	0.1068691326
462	0.106741514
463	0.1065274328
464	0.1063058284
465	0.1061534845
466	0.1060572877
467	0.1060222808
468	0.1058680182
469	0.1057122668
470	0.1055415983
471	0.105465762
472	0.1052683269
473	0.1052367178
474	0.1049664607
475	0.1048036104
476	0.1047260429
477	0.1046657263
478	0.1044907696
479	0.1044224672
480	0.104400929
481	0.1041847427
482	0.1041640619
483	0.1038530409
484	0.1036718433
485	0.1032839234
486	0.103142494
487	0.1028937527
488	0.1027458738
489	0.1026742036
490	0.1025734425
491	0.102448174
492	0.1023799748
493	0.1020238164
494	0.1018251527
495	0.1016194713
496	0.1014957142
497	0.1013382088
498	0.1013241661
499	0.1011067525
500	0.1010015652
501	0.1009127388
502	0.100836205
503	0.1006360937
504	0.1004690808
505	0.100299734
506	0.1002291592
507	0.1001957268
508	0.100141316
509	0.09999834132
510	0.09994971696
511	0.09972648137
512	0.09958433472
513	0.09929814848
514	0.09914302283
515	0.0990986887
516	0.09896879334
517	0.09878397057
518	0.09852458753
519	0.09836679629
520	0.09821707469
521	0.09804328612
522	0.09787767599
523	0.09773110807
524	0.09754627482
525	0.09742304491
526	0.09730413283
527	0.09725559981
528	0.09717667871
529	0.0970374604
530	0.09700246608
531	0.09694865394
532	0.09667845216
533	0.09653862631
534	0.09634906714
535	0.09615306393
536	0.09592939843
537	0.09583983816
538	0.0957317377
539	0.09562573083
540	0.09545705803
541	0.09527977372
542	0.09514165956
543	0.094898045
544	0.09475515169
545	0.09455161152
546	0.09434370952
547	0.09420070601
548	0.09406481196
549	0.09402206328
550	0.09395998753
551	0.09378249908
552	0.09365883321
553	0.09361810119
554	0.09350423206
555	0.09335248417
556	0.09311885436
557	0.09309766538
558	0.09298518005
559	0.09278156533
560	0.09263454146
561	0.09253786612
562	0.09244246821
563	0.09228844146
564	0.09212937066
565	0.09207918566
566	0.09192441182
567	0.09178662775
568	0.09153323865
569	0.09152180226
570	0.09149789112
571	0.09144068276
572	0.09139249296
573	0.09124204012
574	0.09113590156
575	0.09107316255
576	0.09102181632
577	0.09092800751
578	0.09080132387
579	0.09069936271
580	0.09061329605
581	0.09056496022
582	0.09040822756
583	0.090280516
584	0.090024703
585	0.08984287139
586	0.08971337463
587	0.0896064828
588	0.08951320625
589	0.08938883636
590	0.0892650414
591	0.0891537174
592	0.08912053048
593	0.08900673624
594	0.08885960783
595	0.08883851331
596	0.08872893305
597	0.08862437713
598	0.08854031468
599	0.0884237695
600	0.08829204631
601	0.08823994096
602	0.08811070353
603	0.08788201253
604	0.08780447229
605	0.08768230371
606	0.08767621164
607	0.08746562318
608	0.08741509765
609	0.08734180925
610	0.08733257819
611	0.08730659992
612	0.08720642815
613	0.08711379165
614	0.08706120196
615	0.08696160756
616	0.08685938535
617	0.0866923227
618	0.08666760915
619	0.08666022989
620	0.08657092672
621	0.08646424359
622	0.08627580552
623	0.08611838666
624	0.08611263842
625	0.08596632219
626	0.0857645181
627	0.08575985217
628	0.08563345586
629	0.0854694412
630	0.08530618562
631	0.0852271238
632	0.08522153215
633	0.08500741777
634	0.08494524153
635	0.08479585293
636	0.08467016859
637	0.08465216188
638	0.08443138013
639	0.08433452691
640	0.08416584782
641	0.08408487174
642	0.08397437618
643	0.08386993674
644	0.08376508128
645	0.08368416017
646	0.08355457241
647	0.08354827504
648	0.08337861274
649	0.08333470915
650	0.08320501005
651	0.08316553775
652	0.08306433325
653	0.08295237269
654	0.08279450485
655	0.08260632867
656	0.08245640335
657	0.08231997341
658	0.08224815814
659	0.08223631213
660	0.08214738287
661	0.08208985038
662	0.08199610084
663	0.08197095013
664	0.08193757048
665	0.0818453811
666	0.08175810838
667	0.0816850805
668	0.08158982594
669	0.08144343136
670	0.08136551208
671	0.08119619692
672	0.0811082032
673	0.08103814123
674	0.08095447249
675	0.08085180229
676	0.08074784341
677	0.08065174689
678	0.08061919275
679	0.08050668229
680	0.08038132131
681	0.08021431793
682	0.08006146209
683	0.07996671121
684	0.0799608469
685	0.07988594148
686	0.07986872659
687	0.07974176136
688	0.07966924418
689	0.07949084083
690	0.07941130192
691	0.07940321626
692	0.07928079619
693	0.07918787927
694	0.07913561365
695	0.07908469675
696	0.07899857122
697	0.07878407876
698	0.07868809848
699	0.07859180158
