iter	Passed	Remaining
0	6	4356
1	12	4318
2	17	3996
3	20	3585
4	23	3293
5	26	3082
6	30	2989
7	33	2900
8	36	2817
9	41	2835
10	45	2825
11	48	2769
12	51	2717
13	54	2659
14	56	2590
15	61	2639
16	65	2617
17	68	2596
18	71	2571
19	74	2538
20	76	2473
21	77	2378
22	80	2380
23	84	2373
24	85	2319
25	90	2346
26	94	2345
27	96	2327
28	100	2318
29	104	2326
30	106	2293
31	110	2299
32	113	2292
33	119	2345
34	127	2431
35	137	2543
36	147	2636
37	155	2714
38	159	2707
39	163	2693
40	166	2674
41	169	2658
42	173	2647
43	176	2634
44	179	2613
45	183	2608
46	186	2593
47	189	2579
48	193	2568
49	199	2591
50	204	2600
51	208	2602
52	212	2596
53	217	2603
54	221	2601
55	225	2595
56	230	2597
57	236	2616
58	241	2628
59	245	2622
60	253	2652
61	260	2679
62	266	2696
63	272	2712
64	276	2701
65	279	2687
66	282	2671
67	286	2662
68	289	2651
69	292	2634
70	296	2627
71	301	2626
72	306	2632
73	310	2628
74	314	2623
75	318	2613
76	321	2602
77	325	2595
78	328	2582
79	334	2595
80	338	2587
81	341	2576
82	345	2565
83	349	2561
84	353	2560
85	357	2551
86	361	2546
87	366	2552
88	370	2542
89	374	2535
90	377	2523
91	382	2527
92	386	2522
93	389	2509
94	392	2498
95	395	2487
96	399	2483
97	403	2477
98	406	2468
99	409	2459
100	414	2457
101	417	2449
102	421	2444
103	426	2442
104	431	2443
105	433	2431
106	437	2424
107	445	2443
108	452	2452
109	459	2464
110	467	2478
111	471	2475
112	474	2465
113	478	2460
114	483	2459
115	486	2450
116	489	2440
117	493	2436
118	498	2435
119	502	2427
120	506	2421
121	509	2413
122	514	2415
123	518	2406
124	521	2399
125	524	2391
126	527	2380
127	531	2376
128	534	2366
129	538	2361
130	542	2354
131	545	2346
132	549	2341
133	553	2336
134	556	2328
135	559	2319
136	563	2314
137	566	2306
138	569	2297
139	572	2290
140	576	2286
141	580	2279
142	583	2273
143	587	2269
144	591	2263
145	595	2259
146	599	2253
147	603	2250
148	608	2251
149	612	2245
150	615	2239
151	619	2233
152	622	2226
153	627	2226
154	630	2218
155	635	2216
156	643	2223
157	647	2221
158	653	2223
159	659	2226
160	666	2232
161	673	2238
162	680	2242
163	688	2249
164	696	2259
165	705	2269
166	712	2274
167	720	2281
168	729	2292
169	736	2296
170	744	2303
171	751	2306
172	758	2309
173	765	2312
174	773	2319
175	779	2321
176	786	2323
177	795	2332
178	802	2334
179	808	2336
180	816	2341
181	824	2346
182	830	2346
183	834	2340
184	838	2333
185	841	2325
186	845	2320
187	849	2314
188	852	2305
189	858	2304
190	862	2297
191	865	2291
192	869	2283
193	874	2280
194	879	2277
195	883	2270
196	886	2263
197	890	2257
198	893	2249
199	897	2244
200	901	2237
201	904	2230
202	907	2222
203	911	2215
204	914	2209
205	917	2200
206	921	2194
207	925	2188
208	929	2182
209	934	2179
210	941	2180
211	947	2180
212	952	2178
213	957	2175
214	961	2167
215	964	2160
216	967	2153
217	973	2151
218	977	2146
219	980	2140
220	984	2134
221	988	2129
222	992	2122
223	995	2115
224	999	2110
225	1003	2105
226	1007	2099
227	1011	2093
228	1016	2090
229	1021	2087
230	1025	2081
231	1028	2074
