iter	Passed	Remaining
0	4	3345
1	10	3613
2	14	3296
3	17	3057
4	22	3114
5	26	3011
6	29	2924
7	33	2915
8	36	2820
9	40	2796
10	43	2754
11	47	2730
12	51	2698
13	56	2755
14	57	2615
15	60	2573
16	63	2556
17	67	2538
18	69	2496
19	73	2498
20	75	2435
21	76	2358
22	80	2358
23	83	2339
24	87	2362
25	91	2366
26	92	2303
27	95	2296
28	100	2328
29	104	2326
30	107	2311
31	110	2303
32	115	2335
33	123	2420
34	125	2377
35	132	2442
36	136	2440
37	140	2441
38	144	2455
39	148	2448
40	151	2428
41	154	2418
42	157	2409
43	162	2416
44	165	2410
45	168	2401
46	171	2386
47	174	2375
48	179	2382
49	183	2380
50	186	2371
51	192	2393
52	199	2432
53	205	2456
54	207	2436
55	212	2444
56	216	2439
57	220	2444
58	224	2439
59	229	2452
60	234	2459
61	238	2457
62	241	2444
63	246	2447
64	249	2440
65	253	2434
66	256	2420
67	262	2442
68	269	2465
69	276	2489
70	282	2504
71	286	2497
72	294	2531
73	297	2518
74	301	2515
75	305	2505
76	309	2502
77	314	2505
78	316	2490
79	319	2474
80	322	2464
81	326	2457
82	330	2455
83	333	2447
84	336	2437
85	340	2428
86	343	2421
87	347	2418
88	350	2407
89	353	2398
90	357	2392
91	362	2398
92	366	2392
93	370	2386
94	375	2392
95	379	2384
96	382	2377
97	385	2369
98	388	2361
99	393	2360
100	397	2358
101	400	2348
102	404	2343
103	409	2348
104	413	2344
105	417	2341
106	421	2334
107	427	2341
108	430	2335
109	434	2328
110	437	2321
111	441	2317
112	444	2309
113	447	2302
114	451	2294
115	454	2287
116	457	2278
117	462	2279
118	467	2280
119	470	2275
120	474	2270
121	477	2264
122	481	2258
123	484	2251
124	488	2245
125	492	2245
126	498	2249
127	501	2242
128	505	2238
129	508	2229
130	512	2225
131	515	2220
132	520	2216
133	524	2215
134	528	2209
135	532	2209
136	536	2202
137	539	2198
138	543	2194
139	547	2189
140	550	2183
141	556	2188
142	559	2180
143	564	2178
144	567	2172
145	570	2166
146	574	2160
147	579	2160
148	582	2155
149	586	2149
150	590	2146
151	593	2139
152	596	2132
153	599	2127
154	603	2120
155	607	2116
156	611	2113
157	614	2107
158	617	2101
159	621	2096
160	625	2094
161	628	2088
162	632	2082
163	634	2075
164	638	2069
165	641	2063
166	646	2063
167	649	2057
168	653	2054
169	657	2049
170	661	2045
171	664	2038
172	668	2035
173	672	2031
174	676	2029
175	679	2024
176	682	2018
177	686	2012
178	690	2010
179	693	2004
180	696	1997
181	699	1992
182	702	1984
183	706	1981
184	709	1974
185	713	1970
186	716	1964
187	719	1959
188	723	1956
189	727	1953
190	730	1947
191	735	1945
192	739	1943
193	743	1938
194	746	1932
195	749	1927
196	753	1923
197	761	1930
198	767	1933
199	772	1932
200	777	1930
201	781	1927
202	787	1928
203	792	1926
204	795	1920
205	799	1917
206	804	1916
207	807	1911
208	810	1903
209	813	1899
210	817	1893
211	820	1889
212	824	1884
213	829	1883
214	832	1877
215	835	1872
216	838	1866
217	842	1862
218	845	1856
219	848	1851
220	853	1849
221	856	1843
222	859	1839
223	862	1832
224	866	1828
225	869	1823
226	873	1820
227	877	1816
228	880	1811
229	885	1808
230	888	1803
231	891	1798
232	895	1794
233	898	1790
234	903	1787
235	906	1783
236	910	1778
237	914	1775
238	920	1775
239	924	1772
240	927	1766
241	931	1762
242	936	1760
243	939	1755
244	944	1753
245	947	1748
246	951	1745
247	954	1740
248	957	1734
249	960	1728
250	964	1725
251	968	1721
252	971	1717
253	975	1712
254	978	1707
255	983	1706
256	986	1701
257	990	1696
258	993	1692
259	997	1687
260	1000	1683
261	1004	1679
262	1009	1676
263	1013	1673
264	1016	1669
265	1020	1665
266	1024	1660
267	1029	1659
