iter	RMSE
0	14.58800805
1	13.22577277
2	11.93947666
3	10.80651773
4	9.762737238
5	8.840409239
6	7.993232684
7	7.234444003
8	6.537908049
9	5.90711585
10	5.362962178
11	4.86045293
12	4.395310773
13	3.973181469
14	3.584086198
15	3.25200895
16	2.94634447
17	2.670869398
18	2.423370497
19	2.200871824
20	1.995118856
21	1.809599078
22	1.649636921
23	1.507783394
24	1.378075777
25	1.262906374
26	1.156732731
27	1.063755267
28	0.9791108475
29	0.9071880056
30	0.8406979637
31	0.7805375181
32	0.7270135579
33	0.6808479106
34	0.6418524183
35	0.604325082
36	0.5714360514
37	0.5423287932
38	0.5172484915
39	0.4951709321
40	0.4746404081
41	0.4572423589
42	0.44197069
43	0.4286564952
44	0.4170143091
45	0.4058767538
46	0.3963970922
47	0.387761995
48	0.3805865882
49	0.3737744247
50	0.3683471363
51	0.3625099689
52	0.3570530649
53	0.3521316835
54	0.3486612746
55	0.3448048877
56	0.341463824
57	0.3370118386
58	0.3331356313
59	0.3307161779
60	0.3271664912
61	0.3241526337
62	0.3206880056
63	0.318631146
64	0.3163265552
65	0.3136721933
66	0.3106719876
67	0.3090298163
68	0.3067337078
69	0.304392499
70	0.3029278437
71	0.3001057839
72	0.2988203658
73	0.2958523342
74	0.2942325351
75	0.2924918816
76	0.2903492505
77	0.2887219676
78	0.2864901415
79	0.2845574206
80	0.2828076966
81	0.2811936308
82	0.2789609075
83	0.2770237759
84	0.2761850522
85	0.2744592539
86	0.2731697773
87	0.2718359708
88	0.2703380692
89	0.2685098925
90	0.2669422186
91	0.264395127
92	0.2630267099
93	0.2611458666
94	0.2586097172
95	0.2566158134
96	0.2553352695
97	0.25420399
98	0.2529326881
99	0.2516382799
100	0.249691055
101	0.2482460036
102	0.2466380788
103	0.2463761131
104	0.2446218424
105	0.2431655868
106	0.2421562063
107	0.2407942922
108	0.2397315729
109	0.2384533982
110	0.2372501327
111	0.2363622752
112	0.2351808843
113	0.2345958713
114	0.2337019717
115	0.2326671874
116	0.2314095378
117	0.2302325592
118	0.2289150446
119	0.2278079757
120	0.2262527009
121	0.22530051
122	0.2247578537
123	0.2237296453
124	0.2226016391
125	0.2213819241
126	0.2204518006
127	0.2197039589
128	0.2189490575
129	0.2184436658
130	0.2170425564
131	0.2158352404
132	0.2150386867
133	0.2137885268
134	0.2131958582
135	0.2125179431
136	0.211796342
137	0.2109711028
138	0.2100084043
139	0.2089759271
140	0.2085311139
141	0.2080476026
142	0.2071957405
143	0.2063465352
144	0.2053626019
145	0.2042608549
146	0.203579811
147	0.2030180502
148	0.2029090632
149	0.2021552502
150	0.201064827
151	0.2003251759
152	0.1992049438
153	0.1991106522
154	0.1982103552
155	0.1972455806
156	0.1966879063
157	0.1961286536
158	0.1952293956
159	0.1944593652
160	0.1937494064
161	0.1931185972
162	0.1929952246
163	0.1929116167
164	0.1928193156
165	0.1921527991
166	0.1920310519
167	0.1919696709
168	0.1912170753
169	0.1905499755
170	0.1898320675
171	0.1891243559
172	0.1887284092
173	0.1883145176
174	0.1879738792
175	0.1871310826
176	0.1864628504
177	0.186328225
178	0.1860422373
179	0.1858997739
180	0.1849578217
181	0.1843315697
182	0.1832265153
183	0.1826172147
184	0.1821208305
185	0.1815431132
186	0.1812136162
187	0.180402241
188	0.1800355667
189	0.1796403464
190	0.1793079155
191	0.1789369404
192	0.1782469767
193	0.1776809219
194	0.1767470658
195	0.1766742029
196	0.176606823
197	0.1758236662
198	0.1754535542
199	0.1746672177
200	0.1744443589
201	0.1744012582
202	0.1739313374
203	0.1738773228
204	0.1734082924
205	0.1728503658
206	0.1723196715
207	0.1716857117
208	0.1716135234
209	0.1715727891
210	0.1715385956
211	0.170878224
212	0.1703272979
213	0.1697395149
214	0.1693693563
215	0.1686747571
216	0.1685815007
217	0.1680201225
218	0.1677276984
219	0.1673928951
220	0.166982502
221	0.1666011262
222	0.1659297924
223	0.1653493122
224	0.1648837532
225	0.1644040726
226	0.1639431581
227	0.1634744536
228	0.1629962835
229	0.1622649042
230	0.1618472448
231	0.161215094
232	0.1608773077
233	0.1607969203
234	0.1602583762
235	0.1599808381
236	0.1593755106
237	0.1587537149
238	0.1582027831
239	0.1577382508
240	0.1573885338
241	0.1570726785
242	0.1566293076
243	0.1563514456
244	0.1558862219
245	0.1555437483
246	0.1552709143
247	0.1549475007
248	0.1546550692
249	0.1540037592
250	0.153900914
251	0.1533911653
252	0.1528520828
253	0.15233931
254	0.1522536909
255	0.1518779172
256	0.1513512064
257	0.1510154305
258	0.1509159816
259	0.1506397427
260	0.1501307009
261	0.1497636014
262	0.149411626
263	0.1490725073
264	0.1488468111
265	0.1484872152
266	0.1483159399
267	0.1480203211
268	0.1475254852
269	0.1469195181
270	0.146702815
271	0.1462289223
272	0.1460344953
273	0.1457917654
274	0.1456475466
275	0.1452484626
276	0.1449818419
277	0.1446196694
278	0.1442074692
279	0.143740012
280	0.1435817201
281	0.1431693711
282	0.1429265944
283	0.1426921657
284	0.1425034814
285	0.1423707127
286	0.1423453465
287	0.1423123952
288	0.1420378985
289	0.1416324246
290	0.1415324935
291	0.1411721175
292	0.1408587782
293	0.1404514249
294	0.1402637689
295	0.1398906484
296	0.13955205
297	0.1392692379
298	0.1391804325
299	0.1387209543
300	0.1384461471
301	0.1380574542
302	0.1377712324
303	0.1375276732
304	0.1371945115
305	0.1366679568
306	0.1363718343
307	0.1360603737
308	0.1357475051
309	0.1355579684
310	0.1353450354
311	0.1350562806
312	0.1348130168
313	0.13452844
314	0.1342822865
315	0.1340910995
316	0.1336262515
317	0.1334737804
318	0.1330184468
319	0.1326682708
320	0.1323116803
321	0.1322010545
322	0.1320569124
323	0.1318537354
324	0.1314027319
325	0.131110303
326	0.1309212805
327	0.1305054511
328	0.1302940508
329	0.1297953945
330	0.129477253
331	0.1292168052
332	0.1290811401
333	0.128884623
334	0.1283336638
335	0.1282551965
336	0.1281984728
337	0.1279389079
338	0.1277409119
339	0.1275521173
340	0.1271502152
341	0.1269245992
342	0.1267357358
343	0.1267032408
344	0.1263628212
345	0.1262885044
346	0.1259564486
347	0.1257213378
348	0.1255256363
349	0.1255009203
350	0.1251691106
351	0.1249977918
352	0.1246845031
353	0.1243791891
354	0.1240795337
355	0.1237370356
356	0.1234359429
357	0.1232889337
358	0.122991167
359	0.1225685409
360	0.1225401174
361	0.1221857812
362	0.1219018877
363	0.1216842061
364	0.1214652226
365	0.1212590652
366	0.1212305235
367	0.120937347
368	0.1207914221
369	0.1207777189
370	0.1206598931
371	0.120572105
372	0.1203028558
373	0.1200423854
374	0.1198065124
375	0.1194760416
376	0.1194427417
377	0.1191702681
378	0.1190460043
379	0.1186189709
380	0.1183919901
381	0.1181550797
382	0.1178073367
383	0.1174595619
384	0.1172339544
385	0.1169597891
386	0.1166383806
387	0.1164738618
388	0.1164079007
389	0.1163932271
390	0.1162197392
391	0.1158923809
392	0.1158232633
393	0.1155309124
394	0.1154190034
395	0.1151317985
396	0.1148572217
397	0.1145777313
398	0.114459213
399	0.114166175
400	0.1138931
401	0.1136384479
402	0.1134989847
403	0.1133694631
404	0.1130729674
405	0.1128391084
406	0.1124997932
407	0.1121793969
408	0.1119421724
409	0.1118471657
410	0.1117087775
411	0.1114842774
412	0.1113282738
413	0.1111107527
414	0.1109665949
415	0.1106528962
416	0.1104586843
417	0.1102351443
418	0.1100044682
419	0.1097447479
420	0.1096796989
421	0.1093854705
422	0.1091713922
423	0.108958964
424	0.1088986049
425	0.1087180582
426	0.1085263417
427	0.1083501929
428	0.108189179
429	0.1080368619
430	0.1078391125
431	0.1078008032
432	0.1075487128
433	0.1074053852
434	0.1072463394
435	0.107032442
436	0.1069902263
437	0.1068780981
438	0.1067374811
439	0.1066265703
440	0.1063695063
441	0.1063067667
442	0.1060377279
443	0.1057952422
444	0.1056139302
445	0.1054348403
446	0.1052072439
447	0.1049726102
448	0.1048385049
449	0.1046484591
450	0.1045731641
451	0.1044091551
452	0.1041452825
453	0.1039841307
454	0.1037818115
455	0.1037628654
456	0.1037058124
457	0.1035273928
458	0.1034484216
459	0.1032876262
460	0.103194577
461	0.1030020716
462	0.1028052473
463	0.1027837534
464	0.1026792574
465	0.1024835575
466	0.1023012683
467	0.1021375172
468	0.1020318193
469	0.1019698108
470	0.1018171689
471	0.1018061575
472	0.1016940318
473	0.1016844276
474	0.101539917
475	0.1012991298
476	0.1011760272
477	0.1010286625
478	0.1009141381
479	0.1006552574
480	0.1005739989
481	0.100411134
482	0.1003586708
483	0.1001112419
484	0.09992676088
485	0.09979871449
486	0.09973339467
487	0.09963505849
488	0.09959269307
489	0.09932120422
490	0.09899364497
491	0.09875767976
492	0.09853533518
493	0.09823751275
494	0.09808836524
495	0.09778371614
496	0.09768547147
497	0.09748743852
498	0.0974788176
499	0.09731756325
500	0.09717453148
501	0.0970294011
502	0.09686966005
503	0.09668162017
504	0.09646458232
505	0.09633031755
506	0.09621228973
507	0.09596634217
508	0.095802878
509	0.09558347466
510	0.09544626379
511	0.0954298053
512	0.09524289708
513	0.09514701781
514	0.09493051982
515	0.09484370645
516	0.09483262869
517	0.09480029255
518	0.09475440055
519	0.09459385233
520	0.09449554165
521	0.09429984291
522	0.09420950534
523	0.09393467253
524	0.09379024042
525	0.09368159997
526	0.09346288881
527	0.09334209402
528	0.09317386258
529	0.09301835244
530	0.09286055452
531	0.09277501206
532	0.0927233568
533	0.09257637233
534	0.09248388354
535	0.09232721657
536	0.09194010955
537	0.09179390154
538	0.09168368744
539	0.0915610474
540	0.09133198307
541	0.0911031182
542	0.09098794155
543	0.09085762508
544	0.09071842637
545	0.09056184997
546	0.09045679252
547	0.09032181674
548	0.09020965314
549	0.08991831984
550	0.08986197698
551	0.089719764
552	0.0895655691
553	0.08944983498
554	0.08923337363
555	0.08901083148
556	0.08881344409
557	0.08880468099
558	0.08871622125
559	0.08860480408
560	0.08845847737
561	0.08841364857
562	0.0883336781
563	0.08811418971
564	0.08800992252
565	0.08774626787
566	0.08770591144
567	0.08758643856
568	0.0874432805
569	0.08742182199
570	0.08736570449
571	0.08727674645
572	0.08718071514
573	0.08702646365
574	0.08692333645
575	0.08671969927
576	0.08657046774
577	0.0863907442
578	0.08627751944
579	0.08620812643
580	0.08607845917
581	0.08597928381
582	0.08586155411
583	0.08571854089
584	0.08562896384
585	0.08547378066
586	0.085362393
587	0.08535638782
588	0.0851865262
589	0.08501401242
590	0.08492837822
591	0.08478225805
592	0.08469262254
593	0.08456868954
594	0.08452821182
595	0.08444758625
596	0.08427931429
597	0.08410450391
598	0.08393768422
599	0.08379817511
600	0.08371177259
601	0.08358674557
602	0.0835054543
603	0.08339230924
604	0.08338099756
605	0.08329337865
606	0.08323190186
607	0.08310079037
608	0.08294392102
609	0.08282286755
610	0.08276851516
611	0.08267689586
612	0.08258080262
613	0.08239711291
614	0.08233989873
615	0.08219882488
616	0.08209594986
617	0.0820010832
618	0.08195218347
619	0.08187613735
620	0.08169296418
621	0.08156568159
622	0.08140721271
623	0.08128186544
624	0.08118774823
625	0.081021866
626	0.08091247958
627	0.08084604091
628	0.08076668467
629	0.08059183906
630	0.08053174207
631	0.08049151459
632	0.08037156903
633	0.08033933471
634	0.08012078135
635	0.0799735336
636	0.07988531165
637	0.07978904165
638	0.07968928984
639	0.07961060428
640	0.07951905284
641	0.07930296114
642	0.07918526129
643	0.07905720585
644	0.07901000064
645	0.07895820057
646	0.07877288785
647	0.0786616366
648	0.07856478384
649	0.07849106281
650	0.07835464388
651	0.07831870268
652	0.0781960105
